"";"lemma";"tense";"mood";"verbform";"senti_ws";"freq"
"80";"bringen";"-";"-";"Inf";"-";14
"81";"eröffnen";"-";"-";"Inf";"-";14
"82";"zeigen";"-";"-";"Part";"-";14
"83";"beitragen";"-";"-";"Inf";"0.004";14
"84";"investieren";"-";"-";"Inf";"0.004";14
"85";"erhalten";"-";"-";"Part";"0.004";14
"86";"erhöhen";"-";"-";"Part";"0.004";14
"87";"starten";"Past";"Ind";"Fin";"-";13
"88";"bleiben";"Pres";"Ind";"Fin";"-";13
"89";"einrichten";"-";"-";"Inf";"-";13
"90";"setzen";"-";"-";"Part";"-";13
"91";"sorgen";"-";"-";"Part";"-";13
"92";"gewinnen";"-";"-";"Inf";"0.004";13
"93";"helfen";"-";"-";"Inf";"0.373";13
"94";"bauen";"Pres";"Ind";"Fin";"-";12
"95";"begrüßen";"Pres";"Ind";"Fin";"-";12
"96";"sagen";"Pres";"Ind";"Fin";"-";12
"97";"verfolgen";"Pres";"Ind";"Fin";"-";12
"98";"ausrichten";"-";"-";"Inf";"-";12
"99";"durchsetzen";"-";"-";"Part";"-";12
"100";"stärken";"-";"-";"Part";"0.004";12
"101";"orientieren";"Pres";"Ind";"Fin";"-";11
"102";"arbeiten";"-";"-";"Inf";"-";11
"103";"aufnehmen";"-";"-";"Inf";"-";11
"104";"gehen";"-";"-";"Inf";"-";11
"105";"reformieren";"-";"-";"Inf";"-";11
"106";"wählen";"-";"-";"Inf";"-";11
"107";"beginnen";"-";"-";"Part";"-";11
"108";"senken";"-";"-";"Inf";"-0.0596";11
"109";"ausbauen";"Pres";"Ind";"Fin";"0.004";11
"110";"erarbeiten";"-";"-";"Inf";"0.004";11
"111";"fahren|führen";"Pres";"Ind";"Fin";"-";10
"112";"finden";"Pres";"Ind";"Fin";"-";10
"113";"sprechen";"Pres";"Ind";"Fin";"-";10
"114";"tragen";"Pres";"Ind";"Fin";"-";10
"115";"wenden";"Pres";"Ind";"Fin";"-";10
"116";"ändern";"-";"-";"Inf";"-";10
"117";"bewahren";"-";"-";"Inf";"-";10
"118";"einbeziehen";"-";"-";"Inf";"-";10
"119";"lassen";"-";"-";"Inf";"-";10
"120";"erreichen";"Pres";"Ind";"Fin";"0.004";10
"121";"verstärken";"Pres";"Ind";"Fin";"0.004";10
"122";"ausweiten";"-";"-";"Inf";"0.004";10
"123";"anpassen";"-";"-";"Part";"0.004";10
"124";"achten";"Past";"Ind";"Fin";"-";9
"125";"benötigen";"Pres";"Ind";"Fin";"-";9
"126";"stellen";"-";"-";"Inf";"-";9
"127";"unternehmen";"-";"-";"Inf";"-";9
"128";"weiterführen";"-";"-";"Inf";"-";9
"129";"begrenzen";"-";"-";"Inf";"-0.0048";9
"130";"beseitigen";"-";"-";"Inf";"-0.0048";9
"131";"ermöglichen";"Pres";"Ind";"Fin";"0.004";9
"132";"sichern";"Pres";"Ind";"Fin";"0.004";9
"133";"verbessern";"Pres";"Ind";"Fin";"0.004";9
"134";"verbinden";"Pres";"Ind";"Fin";"0.004";9
"135";"ermutigen";"-";"-";"Inf";"0.004";9
"136";"verwirklichen";"-";"-";"Inf";"0.004";9
"137";"entlasten";"-";"-";"Part";"0.004";9
"138";"verdoppeln";"-";"-";"-";"-";8
"139";"arbeiten";"Pres";"Ind";"Fin";"-";8
"140";"kommen";"Pres";"Ind";"Fin";"-";8
"141";"leben";"Pres";"Ind";"Fin";"-";8
"142";"prüfen";"Pres";"Ind";"Fin";"-";8
"143";"wissen";"Pres";"Ind";"Fin";"-";8
"144";"zeigen";"Pres";"Ind";"Fin";"-";8
"145";"halten";"-";"-";"Inf";"-";8
"146";"leisten";"-";"-";"Inf";"-";8
"147";"tragen";"-";"-";"Inf";"-";8
"148";"werben";"-";"-";"Inf";"-";8
"149";"stellen";"-";"-";"Part";"-";8
"150";"vermeiden";"-";"-";"Inf";"-0.5265";8
"151";"modernisieren";"-";"-";"Inf";"0.004";8
"152";"verteidigen";"-";"-";"Inf";"0.004";8
"153";"verstehen";"Pres";"Ind";"Fin";"0.0957";8
"154";"helfen";"Pres";"Ind";"Fin";"0.373";8
"155";"aufweren";"Past";"Ind";"Fin";"-";7
"156";"ausrichten";"Past";"Ind";"Fin";"-";7
"157";"bewahren";"Pres";"Ind";"Fin";"-";7
"158";"bieten";"Pres";"Ind";"Fin";"-";7
"159";"gelten";"Pres";"Ind";"Fin";"-";7
"160";"ausschöpfen";"-";"-";"Inf";"-";7
"161";"eindämmen";"-";"-";"Inf";"-";7
"162";"ergreifen";"-";"-";"Inf";"-";7
"163";"erkennen";"-";"-";"Inf";"-";7
"164";"fordern";"-";"-";"Inf";"-";7
"165";"fortentwickeln";"-";"-";"Inf";"-";7
"166";"knüpfen";"-";"-";"Inf";"-";7
"167";"öffnen";"-";"-";"Inf";"-";7
"168";"sprechen";"-";"-";"Inf";"-";7
"169";"verlängern";"-";"-";"Inf";"-";7
"170";"einsetzen";"-";"-";"Part";"-";7
"171";"geben";"-";"-";"Part";"-";7
"172";"weitergehen";"-";"-";"Part";"-";7
"173";"vereinfachen";"Past";"Ind";"Fin";"0.004";7
"174";"engagieren";"Pres";"Ind";"Fin";"0.004";7
"175";"erhöhen";"Pres";"Ind";"Fin";"0.004";7
"176";"überwinden";"-";"-";"Inf";"0.004";7
"177";"fördern";"-";"-";"Part";"0.004";7
"178";"lehnen";"-";"-";"-";"-";6
"179";"sein";"-";"-";"-";"-";6
"180";"gestalten";"Past";"Ind";"Fin";"-";6
"181";"dringen";"Pres";"Ind";"Fin";"-";6
"182";"entwickeln";"Pres";"Ind";"Fin";"-";6
"183";"erwarten";"Pres";"Ind";"Fin";"-";6
