"";"lemma";"tense";"mood";"verbform";"senti_ws";"freq"
"253";"initiieren";"-";"-";"Inf";"-";5
"254";"intensivieren";"-";"-";"Inf";"-";5
"255";"knüpfen";"-";"-";"Inf";"-";5
"256";"kommen";"-";"-";"Inf";"-";5
"257";"sehen";"-";"-";"Inf";"-";5
"258";"umstellen";"-";"-";"Inf";"-";5
"259";"beschreiben";"-";"-";"Part";"-";5
"260";"setzen";"-";"-";"Part";"-";5
"261";"zeigen";"-";"-";"Part";"-";5
"262";"abschaffen";"Pres";"Ind";"Fin";"-0.0048";5
"263";"beschränken";"Pres";"Ind";"Fin";"-0.0048";5
"264";"auflösen";"-";"-";"Inf";"-0.0412";5
"265";"beenden";"-";"-";"-";"-0.0603";5
"266";"kämpfen";"-";"-";"Inf";"-0.3467";5
"267";"drängen";"Pres";"Ind";"Fin";"-0.3516";5
"268";"verringern";"-";"-";"Inf";"-0.3537";5
"269";"ausschließen";"-";"-";"Inf";"-0.4935";5
"270";"klar";"-";"-";"-";"0.004";5
"271";"Überzeugung";"-";"-";"-";"0.004";5
"272";"bedeuten";"Pres";"Ind";"Fin";"0.004";5
"273";"bestehen";"Pres";"Ind";"Fin";"0.004";5
"274";"führen";"Pres";"Ind";"Fin";"0.004";5
"275";"verbinden";"Pres";"Ind";"Fin";"0.004";5
"276";"verteidigen";"Pres";"Ind";"Fin";"0.004";5
"277";"lösen";"-";"-";"Inf";"0.004";5
"278";"wiederherstellen";"-";"-";"Inf";"0.004";5
"279";"sicher";"-";"-";"Inf";"0.3733";5
"280";"abrüsen";"-";"-";"-";"-";4
"281";"brauchen|gerechen";"-";"-";"-";"-";4
"282";"gelingen";"-";"-";"-";"-";4
"283";"koppeln";"-";"-";"-";"-";4
"284";"offen";"-";"-";"-";"-";4
"285";"striken";"-";"-";"-";"-";4
"286";"zu";"-";"-";"-";"-";4
"287";"entgegentreten";"Past";"Ind";"Fin";"-";4
"288";"vorbeugen";"Past";"Ind";"Fin";"-";4
"289";"befinden";"Pres";"Ind";"Fin";"-";4
"290";"begegnen";"Pres";"Ind";"Fin";"-";4
"291";"bitten";"Pres";"Ind";"Fin";"-";4
"292";"durchsetzen";"Pres";"Ind";"Fin";"-";4
"293";"kommen";"Pres";"Ind";"Fin";"-";4
"294";"liegen";"Pres";"Ind";"Fin";"-";4
"295";"räumen";"Pres";"Ind";"Fin";"-";4
"296";"rufen";"Pres";"Ind";"Fin";"-";4
"297";"teilen";"Pres";"Ind";"Fin";"-";4
"298";"tun";"Pres";"Ind";"Fin";"-";4
"299";"wirken";"Pres";"Ind";"Fin";"-";4
"300";"bauen";"-";"-";"Inf";"-";4
"301";"beginnen";"-";"-";"Inf";"-";4
"302";"bieten";"-";"-";"Inf";"-";4
"303";"bündeln";"-";"-";"Inf";"-";4
"304";"deckeln";"-";"-";"Inf";"-";4
"305";"demokratisieren";"-";"-";"Inf";"-";4
"306";"eindämmen";"-";"-";"Inf";"-";4
"307";"eintreten";"-";"-";"Inf";"-";4
